Brand,ProductName,Category,MRP,SalePrice,Rating,NumberOfReviews,URL
Wenz,Geometric Handheld Bag,Handbags and Bags,Rs. 4999,Rs. 2699,,,https://www.myntra.com/handbags/wenz/wenz-geometric-embellished-handheld-bag-handbags/34141813/buy
Safari,Aviator Trolley Bag,Handbags and Bags,Rs. 8560,Rs. 2999,4.3,40,https://www.myntra.com/trolley-bag/safari/safari-aviator-gun-metal-overnighter-trolley-with-laptop-compartment-and-tsa-lock-50cm/32285499/buy
behno New York,WomenShoulderBagwithTasselled,Handbags and Bags,Rs. 10950,Rs. 10950,,,https://www.myntra.com/handbags/behno+new+york/behno-new-york--ina-mini-pouchette-pebble-handbags/29859123/buy
behno New York,Leather Structured Sling Bag,Handbags and Bags,Rs. 18000,Rs. 18000,,,https://www.myntra.com/handbags/behno+new+york/behno-new-york-simone-mini-accordion-milled-handbags/29859061/buy
The Souled Store,Men Colourblocked Backpack,Handbags and Bags,Rs. 5499,Rs. 3134,4.1,33,https://www.myntra.com/backpacks/the+souled+store/the-souled-store-men-deadpool-iconic-backpack/31628949/buy
FUR JADEN,Crocodile Textured Duffel Bag,Handbags and Bags,Rs. 4000,Rs. 899,4.5,959,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-black-crocodile-textured-duffel-bag/19230164/buy
FUR JADEN,Medium Casual Duffel Bag,Handbags and Bags,Rs. 3000,Rs. 1999,4.2,22,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-medium-casual-duffel-bag/29557452/buy
Sangria,Printed Handbags,Handbags and Bags,Rs. 2199,Rs. 681,4.1,67,https://www.myntra.com/handbags/sangria/sangria-floral-printed-handbags/27210090/buy
Bagsy Malone,Set Of 5 Handbags & Wallets,Handbags and Bags,Rs. 3999,Rs. 719,4,22,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of-5-textured-structured-handbags--wallets/27018490/buy
FUR JADEN,Solid Vegan Leather Duffel Bag,Handbags and Bags,Rs. 2000,Rs. 1299,4.5,176,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-brown--white-solid-vegan-leather-duffel-bag/19230162/buy
BAOMI,Printed Shoulder Bag Handbags,Handbags and Bags,Rs. 6400,Rs. 2560,,,https://www.myntra.com/handbags/baomi/baomi-printed-shoulder-bag-handbags/20774836/buy
